Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Male,First year,Science,"10-17",At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, YouTube videos, Mentors, experts and my parents.",Yes,Teachers' teaching method,Bad quality of internet,Pressure,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3,No,5,5,You do not care about,4 hours or less,3,7,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Pressure,Lack of time,1,Yes,1,3,You do not care about,5-7 hours,5,9,9,9,8,High,High,High,Very High,High,Moderate,14,High,High,High,High,High,Moderate,13,13,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"More than 41 hours",At home,Alone,Learning by practicing,YouTube videos,No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Lack of time,Lack of time,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,2,Yes,2,2,Positively,4 hours or less,1,5,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,Lectures,YouTube videos,No,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teaching language,Teaching language,Teaching language,Teaching language,2,Yes,5,5,You do not care about,5-7 hours,5,7,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing",Online documents,Yes,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Pressure,Lack of time,Not having a good (powerful) computer,Not having a good (powerful) computer,4,No,4,4,You do not care about,5-7 hours,3,9,8,9,4,,,,,,,,,,,,,,,,High,High,High,High,High,High,Moderate,High,High,Moderate,High,High,High,High,High,High,13,13
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Lectures, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,4,Yes,4,5,Positively,5-7 hours,3,7,6,6,6,High,Very High,Very High,Very High,Very High,High,16,High,Very High,Very High,Moderate,Moderate,Moderate,13,14,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"26-33",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,2,Yes,3,4,Negatively,8 hours or more,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Bad quality of internet,2,No,2,2,Negatively,8 hours or more,2,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,2,Yes,1,3,You do not care about,5-7 hours,4,10,7,7,8,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High,7,9
Female,First year,Science,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teaching language,Private life problems,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,1,No,2,4,Negatively,5-7 hours,2,8,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Teaching language,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Not having a good (powerful) computer,Private life problems,3,Yes,3,4,Positively,8 hours or more,3,9,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"10-17",In the school's library,In peer,Learning by practicing,"Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Bad quality of internet,1,Yes,1,4,Negatively,5-7 hours,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"26-33",In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning",Online documents,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Bad quality of internet,Pressure,Teaching language,Private life problems,3,Yes,5,4,Positively,8 hours or more,5,8,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Technical maths,"10-17",In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning, Interactive workshops","Books, Online tutorials, YouTube videos",No,Teachers' teaching method,Lack of time,Bad quality of internet,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,3,Yes,4,5,You do not care about,5-7 hours,5,7,6,7,7,,,,,,,,,,,,,,,,High,High,High,High,High,Moderate,High,High,High,High,Moderate,High,High,High,High,High,13,13
Male,First year,Mathematics,"26-33",In your room (dorms),With a group,"Learning by practicing, Interactive workshops","Books, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,3,No,4,5,You do not care about,4 hours or less,3,7,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Not having a good (powerful) computer,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Private life problems,Teaching language,2,No,4,4,Negatively,5-7 hours,2,10,5,6,6,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,11,11
Female,First year,Mathematics,"18-25",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization",YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2,No,2,2,Positively,5-7 hours,3,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,Alone,Online courses and tutorials,Online documents,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teachers' teaching method,Pressure,Not having a good (powerful) computer,2,No,4,5,Positively,5-7 hours,4,5,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"10-17",At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teaching language,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,1,No,5,4,Negatively,5-7 hours,5,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Private life problems,Not having a good (powerful) computer,2,Yes,3,4,You do not care about,8 hours or more,4,8,7,7,9,,,,,,,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,10,11
Female,First year,Science,"More than 41 hours",In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, Online documents, YouTube videos",Yes,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3,No,4,4,You do not care about,5-7 hours,3,9,6,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"34-41",In the school's library,In peer,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Lack of time,Lack of time,Bad quality of internet,Lack of time,Lack of time,Lack of time,Lack of time,3,No,5,5,Positively,5-7 hours,4,8,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Lack of time,Bad quality of internet,Teachers' teaching method,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Not having a good (powerful) computer,3,Yes,4,4,Positively,5-7 hours,4,8,8,7,7,High,High,High,High,High,Moderate,13,High,Very High,Very High,High,Moderate,High,14,14,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,2,3,You do not care about,8 hours or more,4,8,6,5,8,High,High,High,Very High,High,Moderate,14,High,High,High,High,Moderate,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials",YouTube videos,No,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Private life problems,Not having a good (powerful) computer,Teaching language,3,Yes,3,5,You do not care about,5-7 hours,4,8,7,8,9,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,10,10
Female,Second year,Science,"34-41",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2,Yes,5,5,You do not care about,5-7 hours,1,8,5,5,8,Very High,High,High,High,High,High,14,Moderate,High,High,Moderate,Moderate,Moderate,10,12,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In your room (dorms),Alone,Learning by practicing,,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Pressure,Lack of time,Private life problems,Not having a good (powerful) computer,2,No,4,4,You do not care about,5-7 hours,2,7,7,7,6,,,,,,,,,,,,,,,,High,High,Very High,Moderate,High,Moderate,Moderate,High,High,Moderate,High,Very High,Very High,High,High,High,14,13
Female,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",Yes,Bad quality of internet,Not having a good (powerful) computer,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,2,No,2,5,You do not care about,5-7 hours,3,7,3,2,8,High,High,High,Very High,Moderate,High,13,Moderate,High,Very High,Moderate,Moderate,High,11,12,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"26-33",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Pressure,Private life problems,Bad quality of internet,Teaching language,2,No,2,3,Positively,5-7 hours,3,8,5,4,7,Very High,High,High,Very High,High,Moderate,14,Moderate,Moderate,Very High,High,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",No,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,3,No,5,5,Positively,8 hours or more,4,7,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,3,No,5,5,Positively,5-7 hours,3,8,9,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Lack of time,Private life problems,Teaching language,Not having a good (powerful) computer,Bad quality of internet,3,No,4,5,You do not care about,5-7 hours,3,7,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"10-17",At home,In peer,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,3,5,You do not care about,8 hours or more,3,6,5,5,6,High,High,High,Very High,High,High,14,High,Very High,High,High,Moderate,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Teachers' teaching method,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,Bad quality of internet,Private life problems,Lack of previous knowledge or experience in the field,2,No,2,4,You do not care about,5-7 hours,3,9,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In the school's library,Alone,"Project-based learning, Online courses and tutorials",YouTube videos,No,Teachers' teaching method,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teaching language,2,No,3,3,You do not care about,5-7 hours,1,2,6,4,5,Very High,High,High,Very High,High,High,15,High,Very High,Very High,Very High,High,High,15,15,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,Alone,Learning by practicing,YouTube videos,No,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,3,No,4,4,You do not care about,8 hours or more,3,8,8,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,1,2,You do not care about,8 hours or more,2,8,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",At home,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teachers' teaching method,Teaching language,Teaching language,3,Yes,4,3,You do not care about,4 hours or less,2,7,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"26-33",In the school's library,In peer,"Lectures, Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Bad quality of internet,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Bad quality of internet,Bad quality of internet,2,Yes,3,5,Positively,5-7 hours,3,8,8,8,6,,,,,,,,,,,,,,,,Very High,High,High,Moderate,High,Moderate,Moderate,High,High,Low,High,High,High,High,High,High,11,12
Female,Third year,Mathematics,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,3,4,Positively,5-7 hours,3,7,8,6,6,,,,,,,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,11,11
Male,First year,Technical maths,"18-25",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",No,Private life problems,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3,No,4,5,Positively,5-7 hours,3,7,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"34-41",At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of time,Not having a good (powerful) computer,Pressure,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Lack of previous knowledge or experience in the field,3,No,4,4,Positively,5-7 hours,3,7,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"34-41",In the dorms' library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos, Other schools' worksheets ",No,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Pressure,Private life problems,Teaching language,2,No,5,5,Negatively,5-7 hours,2,9,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,3,No,3,4,You do not care about,5-7 hours,3,9,8,7,7,,,,,,,,,,,,,,,,Very High,High,High,High,High,Moderate,Moderate,High,High,Moderate,Moderate,High,High,High,High,Very High,12,13
Male,First year,Science,"34-41",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos, Private courses",Yes,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,3,Yes,3,4,Negatively,5-7 hours,2,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Technical maths,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Teaching language,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,1,Yes,2,3,You do not care about,8 hours or more,3,2,6,6,8,High,High,High,Very High,High,Moderate,13,High,Very High,High,High,High,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,3,Yes,3,4,Positively,5-7 hours,2,8,6,6,5,Very High,High,High,Very High,High,High,15,High,High,Very High,High,Moderate,Moderate,12,13,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teaching language,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3,No,3,3,You do not care about,5-7 hours,3,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"18-25",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Bad quality of internet,Teachers' teaching method,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Private life problems,3,Yes,3,5,You do not care about,4 hours or less,5,6,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"18-25",In the school's library,Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,3,Yes,4,5,You do not care about,5-7 hours,3,10,7,7,6,,,,,,,,,,,,,,,,Very High,High,High,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,High,High,High,Very High,12,12
Female,Third year,Technical maths,"More than 41 hours",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3,No,4,4,You do not care about,5-7 hours,3,7,7,7,8,,,,,,,,,,,,,,,,Very High,High,Moderate,Moderate,High,Moderate,High,High,High,Moderate,Moderate,Moderate,High,High,High,Moderate,11,12
Female,First year,Science,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,4,No,5,5,Positively,5-7 hours,3,6,7,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In the school's library,Alone,"Project-based learning, Interactive workshops, Online courses and tutorials",YouTube videos,No,Private life problems,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2,Yes,2,4,Positively,8 hours or more,4,8,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",Yes,Bad quality of internet,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2,Yes,4,5,Positively,5-7 hours,2,9,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"More than 41 hours",At home,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,3,4,Positively,8 hours or more,3,7,7,8,5,High,High,High,High,High,High,13,Moderate,High,Very High,High,Moderate,Moderate,12,12,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,3,Yes,5,5,You do not care about,5-7 hours,4,9,7,7,8,Very High,High,Very High,Very High,High,Moderate,14,High,High,High,High,Low,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"34-41",At home,Alone,Online courses and tutorials,"Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,1,Yes,2,4,You do not care about,8 hours or more,2,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In your room (dorms),Alone,Learning by practicing,Online documents,No,Pressure,Teaching language,Teachers' teaching method,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,2,Yes,2,3,You do not care about,5-7 hours,4,6,8,9,7,High,High,High,High,High,Moderate,13,High,High,High,High,Moderate,High,13,13,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Pressure,Private life problems,Not having a good (powerful) computer,3,Yes,2,3,Positively,5-7 hours,2,4,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Pressure,Private life problems,Teachers' teaching method,Teaching language,Lack of time,4,No,5,5,You do not care about,8 hours or more,3,10,8,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Private life problems,Pressure,Teaching language,Not having a good (powerful) computer,3,Yes,4,4,You do not care about,5-7 hours,3,6,7,6,7,,,,,,,,,,,,,,,,Very High,High,High,Moderate,Moderate,High,High,High,High,Moderate,High,High,Very High,High,High,High,13,13
